CASEID,STATE,DETOX,TREATMT,OWNERSHP,FEDOWN,SRVC71,SRVC108,SRVC85,SRVC87,SRVC86,OTP,OTPALL,OTPTYPE,COMPSAT,DUI_DWI,ONLYDUI,SIGNLANG,LANG,LANG16,LANG1,LANG2,LANG3,LANG21,LANG4,LANG5,LANG6,LANG7,LANG8,LANG9,LANG10,LANG22,LANG11,LANG19,LANG23,LANG12,LANG13,LANG14,LANG15,LANG20,LANG17,LANG18,SRVC33,SRVC63,SRVC62,SRVC113,SRVC114,SRVC115,SRVC61,SRVC31,SRVC32,SRVC116,CTYPE4,CTYPEHI1,CTYPEHI2,CTYPE7,CTYPERC1,CTYPERC3,CTYPERC4,SRVC75,CTYPE1,CTYPE6,CTYPEML,CTYPEOP,CTYPE2,CTYPE3,FEESCALE,PAYASST,REVCHK3,REVCHK1,REVCHK8,REVCHK5,REVCHK10,REVCHK15,REVCHK2,REVCHK17,LOC5
44,AK,0,1,2,,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,1,0,,,0,,,,,1,0,0,0,1,1,1,0,0,1,0,1,0,1,1,1,0
45,AK,0,1,2,,0,0,0,0,0,0,,,2,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,1,0,0,,,,,,1,1,0,1,D,1,1,D,1,D,0
46,AK,0,1,2,,0,0,0,0,0,0,,,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0
47,AK,0,1,2,,0,0,0,0,0,0,,,1,0,,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,0,,,,,1,0,0,0,1,1,1,0,0,1,1,1,D,D,1,D,0
48,AK,0,1,2,,0,0,0,0,0,0,,,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,1,0,,,0,,,,,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,D,0
49,AK,0,1,2,,0,0,0,0,0,0,,,2,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,1,0,1,0,,,0,,,,,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0
50,AK,0,1,5,,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,1,0,1,0,0,0,,,,,,1,1,0,0,1,1,1,1,1,1,0
51,AK,0,1,5,,0,0,0,0,0,0,,,1,0,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0
52,AK,0,1,5,,0,0,0,0,0,0,,,4,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,,,0,,,,,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0
53,AK,0,1,6,2,1,1,0,0,1,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,0,0,1,0,1,0,,,0,,,,,1,0,0,0,0,1,0,1,D,0,0,0,0,0,0,0,0
54,AK,0,1,1,,0,0,0,0,0,0,,,2,0,,1,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,1,0,,,0,,,,,1,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1,0
55,AK,0,1,2,,1,0,0,0,0,0,,,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0
56,AK,0,1,5,,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,1,1,1,1,0,,,1,0,0,1,0,0,,,,,,M,1,0,D,0,1,1,1,1,1,0
57,AK,0,1,6,2,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,,,0,,,,,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
58,AK,0,1,2,,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,1,0,,,0,,,,,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,D,0
59,AK,0,1,5,,1,0,0,0,0,0,,,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,D,0
60,AK,0,1,1,,0,0,0,0,0,0,,,2,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,0,1,0,,,0,,,,,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
61,AK,1,1,2,,0,0,0,1,1,0,,,4,0,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0
62,AK,0,1,1,,0,0,0,0,0,0,,,M,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,0,,,,,1,0,0,0,1,1,1,1,0,1,0,0,1,0,1,0,0
63,AK,0,1,4,,0,0,0,0,0,0,,,4,0,,0,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,,,0,,,,,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
64,AK,1,1,1,,1,1,0,1,0,0,0,3,4,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,1,1,0,0,1,0,,,0,,,,,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,0,0
65,AK,0,1,2,,0,0,0,0,0,0,,,M,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,1,0,,,0,,,,,1,0,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0
66,AK,0,1,6,1,0,0,0,0,0,0,,,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,1,1,1,0,1,0,,,0,,,,,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
67,AK,0,1,1,,0,0,0,0,0,0,,,5,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,1,1,1,0,1,0,,,0,,,,,1,0,0,1,1,1,1,0,0,1,0,0,0,1,1,D,0
68,AK,1,1,6,2,1,1,0,0,0,0,,,5,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,,,0,,,,,1,1,0,0,1,1,0,0,0,D,D,D,D,1,D,D,0
69,AK,0,1,1,,1,1,0,1,0,0,0,3,4,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,1,1,1,1,0,1,0,,,0,,,,,1,0,1,0,1,1,0,0,0,1,0,D,0,1,1,D,0
70,AK,0,1,2,,1,0,0,1,0,0,,,3,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,1,1,1,1,0,,,0,,,,,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0
71,AK,0,1,2,,0,0,0,0,0,0,,,2,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,1,0,1,0,,,1,0,0,1,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1
72,AK,0,1,2,,0,0,0,0,0,0,,,2,0,,0,1,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,1,1,1,1,0,,,1,0,0,1,1,0,,,,,,1,0,0,1,1,1,1,1,1,0,0
73,AK,0,1,2,,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,1,0,,,1,0,0,1,1,0,,,,,,0,1,0,1,1,1,1,1,1,1,0
74,AK,1,1,6,1,1,1,0,1,1,0,0,1,2,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,1,1,0,0,0,,,1,0,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0
75,AK,0,1,2,,0,0,0,0,0,0,,,2,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,1,0,1,0,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0
76,AK,0,1,2,,0,0,0,0,0,0,,,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0
77,AK,0,1,2,,0,0,0,0,0,0,,,3,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0
78,AK,0,1,2,,0,0,0,0,0,0,,,3,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,0,1,0,,,0,,,,,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0
79,AK,0,1,2,,0,0,0,0,0,0,,,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,0
80,AK,0,1,2,,0,0,0,0,0,0,,,4,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,0,0,0,0,1,0,1,D,0,0,0,0,0,0,D,0
81,AK,0,1,2,,0,0,0,0,0,0,,,3,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,1,0,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0
82,AK,1,1,2,,0,0,1,0,0,1,1,3,1,0,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,1,0,,,0,,,,,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,D,0
83,AK,1,1,4,,1,1,0,1,0,0,0,2,3,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0
84,AK,0,1,2,,0,0,0,0,0,0,,,1,0,,1,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0
85,AK,0,1,2,,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,,,0,,,,,1,0,0,0,1,1,1,1,0,1,0,1,1,0,1,0,0
86,AK,0,1,5,,0,0,0,0,0,0,,,1,0,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,1,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,0
87,AK,0,1,4,,0,0,0,0,0,0,,,4,0,,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,0,,,,,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
88,AK,1,1,2,,0,0,0,0,0,0,,,4,0,,1,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,,,1,1,0,1,0,0,,,,,,1,0,0,1,0,0,0,D,1,D,1
89,AK,0,1,2,,0,0,0,0,0,0,,,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,0,0,0,1,1,1,1,0,1,0,1,1,D,1,D,0
90,AK,0,1,2,,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,1,0,,,0,,,,,1,0,0,0,1,1,1,1,0,1,1,1,1,1,0,D,1
91,AK,0,1,2,,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,0,1,1,1,1,0,,,1,0,0,1,0,0,,,,,,1,0,0,1,0,0,0,1,1,D,0
92,AL,0,1,2,,0,0,0,0,0,0,,,M,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,D,0
93,AL,0,1,2,,0,0,0,0,0,0,,,1,0,,1,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,0,0,0,,,0,,,,,1,0,0,1,1,1,1,1,0,1,0,1,0,0,1,0,0
94,AL,1,1,2,,1,1,0,1,1,0,0,3,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,,,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0
95,AL,0,1,2,,0,0,0,0,0,0,,,1,0,,1,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,,,0,,,,,1,0,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0
96,AL,1,1,1,,1,1,0,1,0,0,0,3,1,0,,1,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,0,,,,,0,,,,,,0,0,0,1,1,1,1,1,1,D,0
97,AL,1,1,3,,0,0,0,0,0,0,,,4,0,,1,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,0,,,,,0,,,,,,1,0,0,1,1,1,1,0,1,0,0
98,AL,0,1,2,,0,0,0,0,0,0,,,4,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,0,1,1,1,1,0,,,0,,,,,1,0,0,0,1,1,1,0,0,1,D,1,D,D,D,D,0
99,AL,0,1,1,,0,0,1,0,0,1,1,1,1,0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
100,AL,1,1,1,,0,0,1,0,0,1,1,3,4,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0
101,AL,1,1,1,,1,1,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,1,1,1,0,0,0,,,,,,0,0,0,1,0,0,1,1,1,D,0
102,AL,0,1,6,1,1,0,0,1,0,0,0,1,4,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,0,0,0,0,1,0,,,0,,,,,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0
103,AL,1,0,2,,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,1,1,0,0,,,,,0,,,,,,0,0,0,1,1,1,D,1,1,D,0
